epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1380.81,0.63126,0.32121,0.00706,0.9755,0.97554,0.99368,0.8787,0.6124,0.20241,0.01109,0.00172311,0.00172311,0.00172311
63,1401.77,0.67304,0.34317,0.00768,0.99181,0.98694,0.99481,0.91753,0.45288,0.15461,0.00789,0.00171442,0.00171442,0.00171442
64,1422.87,0.66406,0.35899,0.0074,0.972,0.98913,0.99397,0.88499,0.54364,0.18404,0.01014,0.00170562,0.00170562,0.00170562
65,1443.45,0.61751,0.32373,0.00681,0.99456,0.99274,0.9947,0.94546,0.38496,0.13719,0.00679,0.00169672,0.00169672,0.00169672
66,1464.27,0.63093,0.31053,0.00703,0.99212,0.98913,0.99484,0.93389,0.40397,0.14242,0.00684,0.0016877,0.0016877,0.0016877
67,1484.94,0.62696,0.31755,0.00693,0.98651,0.99369,0.99473,0.9397,0.40036,0.1382,0.00715,0.00167858,0.00167858,0.00167858
68,1505.77,0.6176,0.31659,0.00677,0.98316,0.98641,0.99438,0.92201,0.41415,0.14939,0.00732,0.00166935,0.00166935,0.00166935
69,1526.79,0.62573,0.31277,0.00693,0.98079,0.98913,0.9944,0.89623,0.54122,0.18084,0.00947,0.00166002,0.00166002,0.00166002
70,1547.91,0.5967,0.30629,0.00669,0.98911,0.98744,0.99484,0.94698,0.38043,0.13508,0.00667,0.00165059,0.00165059,0.00165059
71,1569.34,0.61002,0.30979,0.00674,0.98107,0.98593,0.99435,0.94614,0.35921,0.14036,0.00628,0.00164105,0.00164105,0.00164105
72,1591.04,0.57974,0.29948,0.0064,0.98652,0.99443,0.99478,0.96069,0.33385,0.11821,0.0057,0.00163141,0.00163141,0.00163141
73,1612.44,0.58856,0.30633,0.00655,0.98132,0.99954,0.99451,0.95419,0.35072,0.12821,0.006,0.00162168,0.00162168,0.00162168
74,1633.5,0.58938,0.29668,0.00647,0.99355,0.99728,0.99497,0.94775,0.3809,0.12235,0.00696,0.00161185,0.00161185,0.00161185
75,1654.78,0.59853,0.29548,0.00647,0.99184,0.99136,0.99484,0.93774,0.36478,0.13356,0.00622,0.00160193,0.00160193,0.00160193
76,1675.72,0.58856,0.29612,0.00631,0.99101,0.99457,0.99492,0.92286,0.45717,0.14306,0.00865,0.00159191,0.00159191,0.00159191
77,1696.58,0.59884,0.29503,0.00647,0.99726,0.98801,0.99495,0.89866,0.51028,0.16446,0.01029,0.0015818,0.0015818,0.0015818
78,1717.29,0.57943,0.28052,0.00639,0.99455,0.99263,0.99492,0.95691,0.33899,0.11527,0.00587,0.0015716,0.0015716,0.0015716
79,1738.23,0.56443,0.28434,0.00644,0.99575,0.99457,0.99497,0.95836,0.33376,0.11606,0.00567,0.00156131,0.00156131,0.00156131
80,1759.22,0.57097,0.28444,0.00634,0.98913,0.98886,0.99459,0.94468,0.39399,0.13844,0.00667,0.00155093,0.00155093,0.00155093
81,1780.27,0.5745,0.29791,0.00626,0.99617,0.98641,0.99478,0.96059,0.35146,0.12068,0.00589,0.00154047,0.00154047,0.00154047
82,1801.92,0.56087,0.29562,0.0063,0.99452,0.98635,0.9947,0.95258,0.37257,0.12977,0.0065,0.00152992,0.00152992,0.00152992
83,1823.47,0.56958,0.28374,0.00615,0.98644,0.98832,0.99467,0.94527,0.39069,0.13674,0.007,0.0015193,0.0015193,0.0015193
84,1844.78,0.55542,0.27203,0.00622,0.99551,0.9837,0.99481,0.96397,0.33478,0.12011,0.00569,0.00150859,0.00150859,0.00150859
85,1865.73,0.55388,0.2873,0.00615,0.98922,0.99701,0.99484,0.96667,0.3228,0.11218,0.00564,0.0014978,0.0014978,0.0014978
86,1887.04,0.55861,0.29519,0.00636,0.9901,0.99728,0.99486,0.95789,0.33766,0.12215,0.00574,0.00148694,0.00148694,0.00148694
87,1908.1,0.54711,0.27988,0.00616,0.98922,0.99766,0.99489,0.97132,0.29359,0.105,0.0051,0.001476,0.001476,0.001476
88,1928.87,0.54832,0.28327,0.00609,0.99661,0.99185,0.99497,0.96422,0.31236,0.10996,0.0053,0.00146498,0.00146498,0.00146498
89,1949.85,0.53494,0.27708,0.00573,0.99526,0.99185,0.99481,0.96608,0.29634,0.11219,0.00514,0.0014539,0.0014539,0.0014539
90,1970.73,0.53715,0.29026,0.00577,0.99433,0.9837,0.9947,0.9313,0.41629,0.14287,0.00788,0.00144274,0.00144274,0.00144274
91,1991.84,0.52745,0.282,0.00571,0.9864,0.9851,0.99465,0.96885,0.28684,0.11311,0.00473,0.00143152,0.00143152,0.00143152
92,2012.65,0.53342,0.25897,0.00584,0.9986,0.97826,0.99465,0.96676,0.30679,0.13085,0.00506,0.00142023,0.00142023,0.00142023
93,2033.74,0.54027,0.27031,0.00588,0.9945,0.98228,0.99465,0.89706,0.49881,0.17609,0.00998,0.00140888,0.00140888,0.00140888
94,2055.39,0.55536,0.28373,0.00605,0.99184,0.99079,0.99486,0.96581,0.31,0.11932,0.00533,0.00139746,0.00139746,0.00139746
95,2076.77,0.52904,0.26818,0.00572,0.99187,0.99484,0.99486,0.97144,0.31063,0.10647,0.00512,0.00138598,0.00138598,0.00138598
96,2097.69,0.51583,0.2647,0.00572,0.99314,0.98913,0.99486,0.96995,0.29365,0.10482,0.00496,0.00137444,0.00137444,0.00137444
97,2118.66,0.51134,0.26099,0.00566,0.99354,0.99185,0.99486,0.94679,0.3542,0.12401,0.00626,0.00136285,0.00136285,0.00136285
98,2139.65,0.52,0.27132,0.00557,0.98386,0.9939,0.99478,0.97568,0.26073,0.10492,0.0043,0.0013512,0.0013512,0.0013512
99,2160.24,0.50523,0.27205,0.00544,0.98924,0.99937,0.99484,0.94266,0.37868,0.12366,0.00655,0.00133949,0.00133949,0.00133949
100,2180.98,0.52168,0.2711,0.00568,0.98509,0.99457,0.99462,0.97204,0.30882,0.11369,0.00498,0.00132773,0.00132773,0.00132773
101,2201.85,0.48854,0.25798,0.00527,0.99725,0.98634,0.99481,0.9764,0.28082,0.10453,0.00457,0.00131593,0.00131593,0.00131593
102,2222.77,0.53083,0.26586,0.00579,0.99292,0.99728,0.99497,0.97229,0.30509,0.10508,0.00505,0.00130407,0.00130407,0.00130407
103,2243.59,0.49257,0.25553,0.00541,0.9864,0.98555,0.99454,0.95785,0.32045,0.12128,0.00605,0.00129217,0.00129217,0.00129217
104,2264.5,0.49021,0.2607,0.00537,0.98783,0.99457,0.99489,0.98115,0.24389,0.09922,0.00409,0.00128022,0.00128022,0.00128022
105,2285.73,0.48858,0.25,0.00544,0.98632,0.97962,0.9943,0.90094,0.49742,0.17336,0.00988,0.00126823,0.00126823,0.00126823
106,2307.21,0.49329,0.25692,0.00519,0.99459,0.99955,0.99497,0.97523,0.26931,0.09904,0.00457,0.0012562,0.0012562,0.0012562
107,2328.47,0.47654,0.25385,0.00518,0.98395,0.99936,0.99444,0.97815,0.2614,0.10153,0.00439,0.00124413,0.00124413,0.00124413
108,2349.39,0.47364,0.24753,0.00515,0.99671,0.98641,0.99437,0.96946,0.30507,0.1168,0.00513,0.00123203,0.00123203,0.00123203
109,2370.14,0.49281,0.24281,0.00529,0.99727,0.99417,0.99497,0.98036,0.26476,0.10091,0.0045,0.00121989,0.00121989,0.00121989
