epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1716.3,0.92513,0.54451,0.01356,0.9756,0.96488,0.99199,0.80145,0.80669,0.2679,0.01719,0.0016877,0.0016877,0.0016877
67,1741.67,0.91469,0.51629,0.01358,0.97731,0.96281,0.99233,0.79985,0.81682,0.26306,0.01778,0.00167858,0.00167858,0.00167858
68,1769.23,0.92305,0.51912,0.01358,0.97734,0.96901,0.99209,0.79605,0.80736,0.27294,0.01743,0.00166935,0.00166935,0.00166935
69,1794.38,0.9066,0.50996,0.0132,0.9912,0.97934,0.99415,0.81265,0.80184,0.24247,0.01776,0.00166002,0.00166002,0.00166002
70,1819.23,0.94237,0.51962,0.01386,0.98727,0.96694,0.99359,0.81026,0.80006,0.26029,0.01696,0.00165059,0.00165059,0.00165059
71,1845.4,0.90792,0.49837,0.01323,0.98802,0.96694,0.99364,0.80255,0.81722,0.25468,0.01833,0.00164105,0.00164105,0.00164105
72,1870.84,0.90144,0.49479,0.0133,0.98457,0.96281,0.99344,0.82651,0.75419,0.24429,0.01619,0.00163141,0.00163141,0.00163141
73,1895.5,0.90249,0.53874,0.01349,0.97534,0.94215,0.98639,0.80281,0.83641,0.27945,0.01833,0.00162168,0.00162168,0.00162168
74,1921.88,0.91909,0.5,0.01359,0.9878,0.95455,0.99292,0.83027,0.75572,0.25207,0.01576,0.00161185,0.00161185,0.00161185
75,1947.07,0.86632,0.46936,0.01268,0.97505,0.96904,0.99247,0.83355,0.72959,0.24239,0.01531,0.00160193,0.00160193,0.00160193
76,1968.15,0.87036,0.48246,0.01257,0.9811,0.97314,0.99297,0.81368,0.80728,0.25912,0.01747,0.00159191,0.00159191,0.00159191
77,1987.33,0.88887,0.4848,0.01286,0.96956,0.96281,0.99172,0.81824,0.80416,0.26727,0.01701,0.0015818,0.0015818,0.0015818
78,2006.2,0.86214,0.48512,0.01271,0.96475,0.96141,0.98959,0.8259,0.76245,0.28209,0.01621,0.0015716,0.0015716,0.0015716
79,2025.34,0.8787,0.46618,0.0129,0.98329,0.97281,0.99275,0.81168,0.81181,0.24617,0.0177,0.00156131,0.00156131,0.00156131
80,2049.01,0.89897,0.50059,0.01326,0.96523,0.97512,0.99179,0.82241,0.76672,0.26083,0.01631,0.00155093,0.00155093,0.00155093
81,2073.39,0.86236,0.4707,0.01264,0.9597,0.98347,0.99337,0.8265,0.75415,0.24125,0.01598,0.00154047,0.00154047,0.00154047
82,2100.51,0.83877,0.46796,0.01215,0.97243,0.97934,0.99358,0.82305,0.7785,0.23662,0.01655,0.00152992,0.00152992,0.00152992
83,2126.54,0.84484,0.45818,0.01227,0.97468,0.97314,0.99262,0.83064,0.70272,0.23179,0.0145,0.0015193,0.0015193,0.0015193
84,2153.95,0.83837,0.44453,0.01222,0.97084,0.96307,0.99045,0.8064,0.79852,0.28035,0.01706,0.00150859,0.00150859,0.00150859
85,2182.04,0.84906,0.46013,0.01252,0.98361,0.97521,0.99238,0.82955,0.75688,0.23822,0.01576,0.0014978,0.0014978,0.0014978
86,2210.61,0.84047,0.47458,0.0122,0.98177,0.95868,0.99095,0.82091,0.76318,0.26647,0.01588,0.00148694,0.00148694,0.00148694
87,2238.52,0.85026,0.46124,0.01261,0.98719,0.95502,0.9921,0.82755,0.7567,0.25365,0.01667,0.001476,0.001476,0.001476
88,2265.79,0.82962,0.45873,0.01223,0.98532,0.97102,0.99379,0.83413,0.74049,0.2274,0.01491,0.00146498,0.00146498,0.00146498
89,2293.32,0.81994,0.45249,0.01165,0.99245,0.97314,0.99424,0.83819,0.73252,0.21817,0.01579,0.0014539,0.0014539,0.0014539
90,2321.73,0.80249,0.43109,0.01181,0.97778,0.99174,0.99398,0.83728,0.71408,0.2203,0.01474,0.00144274,0.00144274,0.00144274
91,2349.83,0.80538,0.43604,0.01177,0.98725,0.95993,0.99321,0.83991,0.73655,0.22983,0.01547,0.00143152,0.00143152,0.00143152
92,2377.42,0.81879,0.4266,0.01162,0.9958,0.97913,0.99447,0.84332,0.73237,0.21055,0.01533,0.00142023,0.00142023,0.00142023
93,2403.96,0.80002,0.42971,0.01162,0.98699,0.97727,0.99383,0.84619,0.69945,0.21418,0.01455,0.00140888,0.00140888,0.00140888
94,2430.67,0.82021,0.43369,0.01194,0.97807,0.97934,0.99319,0.84,0.71047,0.22639,0.01471,0.00139746,0.00139746,0.00139746
95,2458.45,0.80621,0.4311,0.01194,0.96336,0.97784,0.99191,0.83322,0.7131,0.25443,0.01476,0.00138598,0.00138598,0.00138598
96,2487.85,0.81776,0.44267,0.01184,0.97135,0.98075,0.99287,0.84192,0.71832,0.24104,0.01492,0.00137444,0.00137444,0.00137444
97,2517.93,0.78084,0.43153,0.01142,0.96841,0.97727,0.99115,0.83974,0.70946,0.24626,0.01466,0.00136285,0.00136285,0.00136285
98,2538.78,0.7868,0.41787,0.01124,0.98354,0.97521,0.99369,0.8518,0.69445,0.21851,0.01428,0.0013512,0.0013512,0.0013512
99,2557.81,0.79264,0.42884,0.01129,0.98331,0.97366,0.99288,0.84449,0.70178,0.25247,0.0143,0.00133949,0.00133949,0.00133949
100,2577.58,0.79125,0.41933,0.01142,0.98141,0.9817,0.99413,0.85648,0.68834,0.21826,0.014,0.00132773,0.00132773,0.00132773
101,2596.52,0.7725,0.42035,0.0114,0.97517,0.97934,0.99309,0.85186,0.67968,0.21713,0.01393,0.00131593,0.00131593,0.00131593
102,2615.25,0.76949,0.433,0.01116,0.97335,0.98085,0.99299,0.84209,0.71536,0.24649,0.0149,0.00130407,0.00130407,0.00130407
103,2634.36,0.75653,0.41093,0.01075,0.99782,0.98347,0.99462,0.84622,0.70344,0.21069,0.01464,0.00129217,0.00129217,0.00129217
104,2653.18,0.77141,0.39476,0.01114,0.98744,0.9743,0.99371,0.84227,0.70002,0.236,0.01439,0.00128022,0.00128022,0.00128022
105,2671.99,0.76159,0.41438,0.01104,0.98561,0.99068,0.99456,0.85512,0.68814,0.21941,0.01372,0.00126823,0.00126823,0.00126823
106,2690.4,0.75232,0.4061,0.01078,0.98126,0.97378,0.99318,0.85512,0.66428,0.22643,0.01349,0.0012562,0.0012562,0.0012562
107,2708.87,0.77979,0.42592,0.01107,0.97718,0.97341,0.99261,0.86218,0.66908,0.21658,0.01362,0.00124413,0.00124413,0.00124413
108,2727.57,0.73195,0.38812,0.01062,0.98151,0.98724,0.9944,0.86156,0.66128,0.21537,0.01362,0.00123203,0.00123203,0.00123203
109,2746.31,0.73836,0.39777,0.0106,0.98142,0.98219,0.99432,0.86619,0.64741,0.2049,0.01309,0.00121989,0.00121989,0.00121989
110,2765.21,0.73928,0.40002,0.01067,0.99369,0.97679,0.99429,0.86467,0.67938,0.19275,0.0139,0.00120771,0.00120771,0.00120771
111,2783.95,0.72275,0.3827,0.0103,0.98254,0.9814,0.99413,0.86382,0.65665,0.1973,0.01351,0.00119551,0.00119551,0.00119551
112,2802.95,0.73166,0.37369,0.01039,0.97364,0.98347,0.99397,0.86035,0.66281,0.20327,0.01363,0.00118327,0.00118327,0.00118327
113,2822.26,0.73797,0.37439,0.01068,0.97747,0.97934,0.99374,0.86304,0.65754,0.21253,0.01336,0.00117101,0.00117101,0.00117101
114,2841.22,0.72875,0.37359,0.01053,0.98948,0.97137,0.99406,0.85517,0.67743,0.21995,0.01372,0.00115872,0.00115872,0.00115872
115,2860.08,0.74903,0.40473,0.01074,0.96098,0.9814,0.99228,0.86313,0.65454,0.22783,0.01333,0.00114641,0.00114641,0.00114641
116,2879.09,0.72044,0.38379,0.01027,0.99323,0.97521,0.99423,0.86328,0.65048,0.20442,0.01319,0.00113408,0.00113408,0.00113408
117,2897.78,0.72654,0.37539,0.01047,0.98,0.98347,0.99417,0.87034,0.63171,0.20226,0.01277,0.00112173,0.00112173,0.00112173
118,2916.58,0.72256,0.39181,0.01011,0.99169,0.9868,0.9946,0.86888,0.64391,0.19792,0.01313,0.00110936,0.00110936,0.00110936
119,2935.12,0.71104,0.39487,0.01039,0.97148,0.98543,0.99312,0.86575,0.64855,0.21907,0.01327,0.00109697,0.00109697,0.00109697
120,2953.89,0.70672,0.36391,0.01004,0.98525,0.96604,0.9933,0.86087,0.66607,0.21342,0.01374,0.00108457,0.00108457,0.00108457
121,2972.77,0.7076,0.37655,0.01025,0.99081,0.97727,0.9944,0.86479,0.65072,0.20132,0.01322,0.00107216,0.00107216,0.00107216
122,2991.66,0.69918,0.36006,0.00986,0.98733,0.97934,0.99427,0.87112,0.63564,0.18872,0.01277,0.00105974,0.00105974,0.00105974
123,3010.43,0.69417,0.37142,0.00979,0.9814,0.98554,0.99408,0.8716,0.63975,0.19758,0.01287,0.00104731,0.00104731,0.00104731
124,3029.19,0.70015,0.35396,0.01002,0.98971,0.99335,0.99481,0.86706,0.65667,0.19962,0.01334,0.00103488,0.00103488,0.00103488
125,3047.95,0.69449,0.34799,0.00989,0.98624,0.9938,0.99477,0.86855,0.66175,0.18742,0.01337,0.00102244,0.00102244,0.00102244
126,3066.83,0.69763,0.36307,0.00994,0.9916,0.9814,0.99429,0.87234,0.61342,0.19003,0.01233,0.00101,0.00101,0.00101
127,3085.34,0.68059,0.351,0.00973,0.98965,0.98744,0.99452,0.86705,0.62064,0.19736,0.01231,0.00099756,0.00099756,0.00099756
128,3103.8,0.69351,0.3882,0.0097,0.99165,0.98098,0.99454,0.8703,0.62948,0.19549,0.01274,0.000985121,0.000985121,0.000985121
129,3122.47,0.68488,0.34872,0.00972,0.99272,0.98967,0.99469,0.86532,0.63497,0.19652,0.01289,0.000972687,0.000972687,0.000972687
130,3141.13,0.70289,0.34456,0.00996,0.98971,0.99333,0.99492,0.88388,0.61306,0.17896,0.01227,0.000960258,0.000960258,0.000960258
131,3159.67,0.66766,0.3495,0.00942,0.98908,0.99174,0.99467,0.87993,0.61664,0.18039,0.01225,0.000947837,0.000947837,0.000947837
132,3178.33,0.67142,0.35253,0.00948,0.97893,0.99174,0.99452,0.87373,0.62955,0.18631,0.01269,0.000935426,0.000935426,0.000935426
133,3196.91,0.66615,0.35199,0.0092,0.98957,0.98038,0.99441,0.88007,0.60667,0.18857,0.01217,0.000923027,0.000923027,0.000923027
134,3215.89,0.66182,0.34142,0.00931,0.98156,0.9814,0.99396,0.87905,0.62318,0.19312,0.01237,0.000910642,0.000910642,0.000910642
135,3234.61,0.67365,0.35713,0.00933,0.99789,0.97515,0.9942,0.87788,0.60936,0.19818,0.01194,0.000898272,0.000898272,0.000898272
136,3253.21,0.67092,0.34972,0.00945,0.97564,0.9929,0.99463,0.88581,0.59676,0.18504,0.01164,0.00088592,0.00088592,0.00088592
