epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2778.63,0.89877,0.46107,0.01145,0.98143,0.98016,0.99416,0.82502,0.76604,0.22882,0.01415,0.00160855,0.00160855,0.00160855
90,2809.99,0.88005,0.44141,0.01141,0.98954,0.95717,0.99306,0.82825,0.7692,0.24084,0.01433,0.00160026,0.00160026,0.00160026
91,2842.48,0.86778,0.44923,0.01112,0.97803,0.97582,0.99349,0.82202,0.78289,0.23467,0.01466,0.00159191,0.00159191,0.00159191
92,2872.83,0.86178,0.43996,0.01132,0.98276,0.96151,0.99318,0.83367,0.74602,0.23977,0.01375,0.00158349,0.00158349,0.00158349
93,2901.96,0.85934,0.43812,0.01101,0.99491,0.98836,0.99483,0.82449,0.76797,0.21798,0.01449,0.00157501,0.00157501,0.00157501
94,2930.86,0.86746,0.4462,0.01147,0.97642,0.97976,0.99347,0.82632,0.76036,0.23016,0.01454,0.00156646,0.00156646,0.00156646
95,2958.15,0.85031,0.4454,0.01109,0.96474,0.98314,0.99307,0.83208,0.74612,0.23199,0.01371,0.00155786,0.00155786,0.00155786
96,2983.91,0.87096,0.438,0.01105,0.99108,0.96796,0.99371,0.82516,0.77525,0.23469,0.01442,0.00154919,0.00154919,0.00154919
97,3009.24,0.86575,0.45657,0.01114,0.99211,0.96965,0.99356,0.82763,0.77562,0.22595,0.01459,0.00154047,0.00154047,0.00154047
98,3034.52,0.8626,0.44849,0.01126,0.97481,0.97873,0.99273,0.83716,0.74273,0.22846,0.01377,0.00153169,0.00153169,0.00153169
99,3060.34,0.84209,0.44585,0.01069,0.97042,0.98988,0.99337,0.81363,0.77886,0.23732,0.01448,0.00152285,0.00152285,0.00152285
100,3085.57,0.84001,0.43521,0.01087,0.9781,0.98314,0.99393,0.82967,0.75212,0.22731,0.01407,0.00151395,0.00151395,0.00151395
101,3110.94,0.83342,0.43488,0.01075,0.98078,0.9747,0.99337,0.82687,0.74443,0.23638,0.01399,0.001505,0.001505,0.001505
102,3136.54,0.84745,0.42639,0.01076,0.97633,0.97367,0.99275,0.83914,0.72952,0.2419,0.01324,0.00149599,0.00149599,0.00149599
103,3161.13,0.8172,0.42134,0.01028,0.98574,0.97808,0.99289,0.83843,0.74667,0.22429,0.01369,0.00148694,0.00148694,0.00148694
104,3185.99,0.84548,0.42038,0.01059,0.96893,0.97133,0.99131,0.8276,0.74276,0.24505,0.01365,0.00147783,0.00147783,0.00147783
105,3212.93,0.83835,0.42894,0.01076,0.97489,0.98218,0.99367,0.83951,0.73041,0.22731,0.01344,0.00146866,0.00146866,0.00146866
106,3241.4,0.8386,0.40972,0.01055,0.98311,0.98182,0.99379,0.83621,0.74052,0.22005,0.01375,0.00145945,0.00145945,0.00145945
107,3266.77,0.82497,0.41552,0.01052,0.9832,0.98482,0.99406,0.83197,0.75092,0.23086,0.01388,0.00145019,0.00145019,0.00145019
108,3292.67,0.81865,0.40524,0.01044,0.98336,0.9882,0.99412,0.83607,0.7445,0.21764,0.01352,0.00144088,0.00144088,0.00144088
109,3318.56,0.81446,0.39935,0.01056,0.98791,0.97808,0.99402,0.84377,0.72126,0.22352,0.01302,0.00143152,0.00143152,0.00143152
110,3349.47,0.80532,0.39928,0.01029,0.98265,0.9882,0.99421,0.83848,0.72783,0.21679,0.01323,0.00142212,0.00142212,0.00142212
111,3404.25,0.81666,0.39146,0.01049,0.98197,0.98145,0.99352,0.84308,0.72551,0.21757,0.0132,0.00141267,0.00141267,0.00141267
112,3477.69,0.80404,0.39778,0.0103,0.97917,0.99325,0.99423,0.83587,0.74394,0.21849,0.0138,0.00140318,0.00140318,0.00140318
113,3547.44,0.80912,0.40918,0.01026,0.97254,0.98482,0.99339,0.84344,0.71753,0.21795,0.01303,0.00139364,0.00139364,0.00139364
114,3587.88,0.8092,0.41364,0.00997,0.9852,0.96796,0.99363,0.83399,0.73529,0.2452,0.01362,0.00138406,0.00138406,0.00138406
115,3618.23,0.79752,0.40223,0.01012,0.98196,0.97976,0.9931,0.83624,0.73564,0.22335,0.01351,0.00137444,0.00137444,0.00137444
116,3649.27,0.80287,0.3949,0.01037,0.98318,0.98551,0.99383,0.83977,0.71812,0.22768,0.01309,0.00136478,0.00136478,0.00136478
117,3678.89,0.79482,0.40494,0.01005,0.96691,0.98554,0.9935,0.84879,0.69726,0.21641,0.01257,0.00135509,0.00135509,0.00135509
118,3709.99,0.82494,0.40358,0.01037,0.99482,0.97151,0.99424,0.84447,0.72469,0.20794,0.0132,0.00134535,0.00134535,0.00134535
119,3738.25,0.79292,0.39136,0.01042,0.98363,0.97808,0.99387,0.85055,0.70202,0.2078,0.01268,0.00133558,0.00133558,0.00133558
120,3766.6,0.78265,0.385,0.00978,0.97823,0.98496,0.99371,0.84189,0.7159,0.21301,0.01294,0.00132577,0.00132577,0.00132577
121,3793.49,0.79008,0.40196,0.01013,0.98864,0.96796,0.99415,0.8488,0.69397,0.21397,0.01247,0.00131593,0.00131593,0.00131593
122,3820.58,0.7817,0.3906,0.00994,0.9742,0.98145,0.99422,0.84818,0.70788,0.21617,0.01254,0.00130605,0.00130605,0.00130605
123,3845.72,0.79632,0.38631,0.0101,0.99208,0.97808,0.99393,0.85035,0.69895,0.21057,0.0124,0.00129614,0.00129614,0.00129614
124,3873.17,0.78395,0.40318,0.00983,0.98486,0.98748,0.99428,0.84472,0.70796,0.21855,0.01252,0.0012862,0.0012862,0.0012862
125,3899.47,0.77261,0.4035,0.00965,0.97938,0.9882,0.99451,0.85446,0.68279,0.21306,0.01239,0.00127623,0.00127623,0.00127623
126,3926.07,0.76813,0.39037,0.00982,0.97861,0.97976,0.99409,0.85015,0.69039,0.21444,0.01242,0.00126623,0.00126623,0.00126623
127,3952.73,0.76614,0.38601,0.00972,0.98653,0.98809,0.99449,0.85814,0.69174,0.20597,0.01229,0.0012562,0.0012562,0.0012562
128,3981.26,0.76876,0.39863,0.00961,0.9898,0.98159,0.9944,0.8553,0.6873,0.20648,0.01207,0.00124615,0.00124615,0.00124615
129,4010.77,0.74906,0.37253,0.00937,0.98738,0.98314,0.99448,0.85647,0.68371,0.20404,0.01225,0.00123607,0.00123607,0.00123607
130,4041.38,0.751,0.38827,0.00947,0.97811,0.97976,0.99372,0.86453,0.66506,0.21244,0.0118,0.00122596,0.00122596,0.00122596
131,4071.75,0.75174,0.38346,0.00941,0.98439,0.97808,0.99364,0.86078,0.67874,0.20977,0.01196,0.00121583,0.00121583,0.00121583
132,4102.58,0.74213,0.37894,0.00923,0.97458,0.99157,0.99368,0.85506,0.68587,0.2141,0.01222,0.00120568,0.00120568,0.00120568
133,4128.32,0.75569,0.38288,0.00954,0.98642,0.98019,0.99406,0.85643,0.67797,0.2101,0.0119,0.00119551,0.00119551,0.00119551
134,4154.1,0.74635,0.3715,0.0092,0.97169,0.98382,0.99365,0.85955,0.66734,0.21809,0.01184,0.00118531,0.00118531,0.00118531
135,4179.89,0.74778,0.37454,0.00957,0.97737,0.98651,0.99384,0.85236,0.67765,0.21117,0.01229,0.0011751,0.0011751,0.0011751
136,4205.34,0.74023,0.38348,0.00919,0.98289,0.98651,0.99432,0.86254,0.65606,0.2053,0.01156,0.00116487,0.00116487,0.00116487
137,4230.22,0.7427,0.36593,0.00922,0.97674,0.9913,0.99415,0.86305,0.65388,0.20172,0.01154,0.00115462,0.00115462,0.00115462
138,4255.44,0.72853,0.36388,0.00891,0.98645,0.98207,0.99454,0.86221,0.66843,0.2003,0.01169,0.00114436,0.00114436,0.00114436
139,4280.02,0.74016,0.3653,0.00927,0.97954,0.98651,0.99429,0.8594,0.66297,0.20253,0.01165,0.00113408,0.00113408,0.00113408
140,4304.5,0.74259,0.36939,0.00942,0.98647,0.98482,0.99433,0.85779,0.67278,0.20604,0.01191,0.00112379,0.00112379,0.00112379
141,4330.06,0.72384,0.36133,0.00914,0.98281,0.98482,0.99448,0.86089,0.66469,0.19726,0.01171,0.00111348,0.00111348,0.00111348
142,4355.57,0.71642,0.36162,0.00884,0.98651,0.98641,0.99458,0.86988,0.6571,0.18761,0.0115,0.00110317,0.00110317,0.00110317
143,4381.1,0.72483,0.34438,0.0092,0.98825,0.99323,0.99454,0.87035,0.65936,0.192,0.01181,0.00109284,0.00109284,0.00109284
144,4406.64,0.71168,0.3689,0.00896,0.98779,0.9882,0.99463,0.86934,0.66234,0.19894,0.01157,0.00108251,0.00108251,0.00108251
145,4432.18,0.7244,0.36176,0.00917,0.98814,0.98347,0.99437,0.86491,0.6555,0.1981,0.01159,0.00107216,0.00107216,0.00107216
146,4457.2,0.7106,0.35131,0.00914,0.98197,0.98651,0.99446,0.86641,0.65263,0.19233,0.01156,0.00106181,0.00106181,0.00106181
147,4482.92,0.70075,0.34526,0.00876,0.99656,0.9775,0.9934,0.8653,0.6631,0.20053,0.01188,0.00105146,0.00105146,0.00105146
148,4508.27,0.7251,0.38429,0.00898,0.98816,0.98513,0.99442,0.86546,0.65813,0.20126,0.01136,0.0010411,0.0010411,0.0010411
149,4534.71,0.71917,0.3656,0.00893,0.97995,0.98909,0.99424,0.86287,0.65576,0.19815,0.01147,0.00103073,0.00103073,0.00103073
150,4570.27,0.69217,0.34491,0.00882,0.98946,0.98988,0.99454,0.86763,0.64266,0.19932,0.01114,0.00102037,0.00102037,0.00102037
151,4602.04,0.69123,0.35734,0.00865,0.98124,0.98145,0.99377,0.86789,0.64139,0.20209,0.01107,0.00101,0.00101,0.00101
152,4635.62,0.69105,0.34987,0.00877,0.98584,0.99325,0.99457,0.86703,0.65162,0.20047,0.01151,0.000999633,0.000999633,0.000999633
153,4669.75,0.69239,0.352,0.00846,0.98003,0.99304,0.99445,0.87261,0.64666,0.19531,0.01114,0.000989267,0.000989267,0.000989267
154,4706.14,0.69463,0.3457,0.00858,0.99321,0.98618,0.99459,0.86795,0.64498,0.20196,0.0113,0.000978903,0.000978903,0.000978903
155,4741.81,0.71453,0.36565,0.00881,0.98952,0.98314,0.99444,0.8732,0.63833,0.18753,0.01128,0.000968543,0.000968543,0.000968543
156,4778.45,0.68531,0.33987,0.00846,0.98811,0.9812,0.99437,0.87427,0.6379,0.19192,0.01112,0.000958187,0.000958187,0.000958187
157,4810.23,0.6762,0.34392,0.00815,0.9916,0.99592,0.99495,0.87257,0.64207,0.18334,0.01123,0.000947837,0.000947837,0.000947837
158,4842.13,0.66867,0.32215,0.0083,0.98987,0.98832,0.99457,0.87436,0.63126,0.18477,0.01088,0.000937494,0.000937494,0.000937494
159,4873.47,0.68279,0.34496,0.00853,0.99147,0.9805,0.99465,0.87003,0.64567,0.19424,0.01114,0.000927159,0.000927159,0.000927159
160,4904.73,0.68016,0.33296,0.00832,0.99316,0.97959,0.9943,0.8743,0.64659,0.18762,0.01123,0.000916833,0.000916833,0.000916833
161,4936.25,0.66445,0.31799,0.00822,0.98428,0.97808,0.9914,0.86765,0.64879,0.20333,0.01127,0.000906517,0.000906517,0.000906517
162,4967.92,0.66593,0.31087,0.00815,0.98174,0.98482,0.99407,0.87595,0.63323,0.19619,0.0111,0.000896212,0.000896212,0.000896212
163,4999.3,0.65597,0.31579,0.00794,0.98413,0.99157,0.99461,0.87415,0.64202,0.18442,0.01113,0.00088592,0.00088592,0.00088592
164,5031.2,0.67021,0.32146,0.00844,0.9932,0.98469,0.9944,0.87532,0.63265,0.20678,0.01103,0.000875642,0.000875642,0.000875642
165,5062.8,0.65835,0.31398,0.008,0.99145,0.97764,0.99428,0.87334,0.63357,0.19587,0.01103,0.000865378,0.000865378,0.000865378
166,5097.09,0.67556,0.33467,0.00821,0.98654,0.98888,0.99412,0.87707,0.632,0.19263,0.01099,0.00085513,0.00085513,0.00085513
167,5129.78,0.66216,0.32792,0.00808,0.98989,0.9905,0.99486,0.87556,0.62858,0.18551,0.01091,0.000844899,0.000844899,0.000844899
168,5161.86,0.65446,0.31736,0.00815,0.97844,0.9947,0.99458,0.87305,0.63023,0.19002,0.01107,0.000834686,0.000834686,0.000834686
169,5193.53,0.65965,0.32807,0.00812,0.98325,0.98965,0.9944,0.87219,0.62735,0.19656,0.011,0.000824492,0.000824492,0.000824492
170,5224.72,0.67257,0.32762,0.00813,0.98322,0.98819,0.99432,0.86989,0.6285,0.19126,0.01066,0.000814319,0.000814319,0.000814319
171,5256,0.65517,0.33844,0.00789,0.98988,0.98925,0.99442,0.87309,0.62897,0.18324,0.01091,0.000804167,0.000804167,0.000804167
172,5288.13,0.65026,0.31249,0.00785,0.99829,0.98483,0.99482,0.87723,0.62061,0.18755,0.01068,0.000794038,0.000794038,0.000794038
173,5323.61,0.65693,0.30938,0.00802,0.99148,0.98174,0.9945,0.87961,0.62043,0.18718,0.01067,0.000783933,0.000783933,0.000783933
174,5356.02,0.65385,0.31472,0.00786,0.98889,0.99157,0.99481,0.87597,0.61809,0.19094,0.01066,0.000773852,0.000773852,0.000773852
175,5381.68,0.64415,0.30833,0.00778,0.98986,0.98736,0.99468,0.87631,0.61724,0.18237,0.01058,0.000763797,0.000763797,0.000763797
176,5408.16,0.6405,0.3128,0.00779,0.99785,0.97976,0.9948,0.87756,0.62105,0.18989,0.01068,0.000753769,0.000753769,0.000753769
177,5433.67,0.63432,0.31658,0.00764,0.99491,0.9897,0.99471,0.87604,0.6156,0.1826,0.0105,0.000743769,0.000743769,0.000743769
178,5459,0.63762,0.31319,0.0078,0.99534,0.98988,0.99486,0.87952,0.61813,0.17855,0.01053,0.000733799,0.000733799,0.000733799
179,5483.92,0.62789,0.31054,0.00752,0.99632,0.98651,0.99483,0.87895,0.61617,0.18365,0.01051,0.000723859,0.000723859,0.000723859
180,5508.88,0.62867,0.29023,0.00771,0.99327,0.99552,0.99488,0.88359,0.61087,0.17617,0.01044,0.00071395,0.00071395,0.00071395
